Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor
Éxito,862,2025-12-14,5845,426.22,3.0,X12,410,Sin respuesta,794.36,API,Legacy,Baja,Mal encoding,No,Sí,SAP
Falla,862,2025-10-29,3472,488.0,7.0,X12,SAP PI,Sin respuesta,1156.82,AS2,SAP,Alta,Formato no soportado,No,Sí,SEEBURGER
Falla,810,2025-12-20,15083,585.01,33.0,X12,R/3,Sin respuesta,1094.21,OFTP,WEBEDI,Baja,Desincronización de reloj,Sí,Sí,VAN
Falla,810,2025-09-14,11145,443.14,,X12,ECC6.0,Sin respuesta,1243.98,OFTP,Legacy,Media,Formato no soportado,Sí,No,SAP
Falla,856,2025-03-19,27670,355.97,14.0,X12,ECC6.0,Timeout,1259.05,OFTP,SAP,Alta,Documento parcialmente transmitido,No,Sí,SIMTEL
Éxito,862,2025-06-26,32927,463.19,47.0,X12,ECC6.0,Sin respuesta,1237.5,API,Legacy,Media,Duplicado,Sí,No,SIMTEL
Falla,850,2025-01-13,18597,512.11,48.0,X12,R/3,,937.17,API,WEBEDI,Baja,Error de autenticación,No,Sí,SEEBURGER
Éxito,862,2025-09-05,5156,568.29,37.0,EDIFACT,,Desincronización de reloj,904.57,OFTP,Legacy,Alta,Mal encoding,Sí,Sí,VAN
Falla,810,2025-02-23,16843,411.09,3.0,EDIFACT,ECC6.0,Formato inválido,1106.12,API,SAP,Alta,Documento parcialmente transmitido,No,Sí,SAP
Éxito,862,2025-06-01,14035,444.59,49.0,X12,R/3,Desincronización de reloj,1270.89,SFTP,Legacy,Baja,Error de autenticación,Sí,Sí,SEEBURGER
Éxito,810,2025-08-01,14269,521.52,,X12,R/3,Formato inválido,1261.0,SFTP,SAP,Baja,Formato no soportado,Sí,No,SAP
Éxito,856,2025-02-13,24126,554.58,25.0,EDIFACT,410,Desincronización de reloj,785.32,FTPS,SAP,Media,Duplicado,No,Sí,SAP
Éxito,856,2025-03-01,7973,520.29,33.0,EDIFACT,ECC6.0,Error de autenticación,1206.12,SFTP,Legacy,Alta,Formato no soportado,No,Sí,EPICOR
Éxito,856,2025-03-14,30161,485.35,13.0,X12,S4HANA,Formato inválido,1064.35,AS2,SAP,Alta,Desincronización de reloj,No,Sí,VAN
Éxito,850,2025-06-28,25645,426.05,33.0,X12,R/3,Timeout,1176.65,AS2,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,EPICOR
Falla,850,2025-06-09,11141,588.71,29.0,EDIFACT,S4HANA,Sin respuesta,1371.61,AS2,Legacy,Media,Formato no soportado,Sí,Sí,VAN
Éxito,810,2025-06-25,21533,621.35,19.0,X12,S4HANA,Formato inválido,1286.23,FTPS,SAP,Media,Error de autenticación,Sí,No,SAP
Falla,830,2025-08-22,6625,441.56,26.0,X12,,Desincronización de reloj,1155.83,AS2,SAP,Media,Fallo en unidades de medida,Sí,No,SEEBURGER
Falla,850,2025-04-16,28090,452.56,38.0,X12,ECC6.0,Timeout,1132.39,API,VAN,Media,Fallo en unidades de medida,No,Sí,VAN
Éxito,810,2025-09-24,10151,568.37,9.0,EDIFACT,410,Desincronización de reloj,610.54,AS2,Legacy,Media,Fallo en unidades de medida,No,Sí,VAN
Falla,862,2025-09-05,4344,516.73,46.0,X12,S4HANA,Timeout,1315.57,FTPS,SAP,Baja,Falta un campo mandatorio,No,Sí,VAN
Éxito,856,2025-06-28,25858,558.19,30.0,X12,S4HANA,Desincronización de reloj,1232.05,AS2,SAP,Media,Desincronización de reloj,Sí,Sí,SAP
Falla,856,2025-09-01,18477,527.1,,EDIFACT,R/3,Sin respuesta,814.49,SFTP,SAP,Baja,Documento parcialmente transmitido,No,Sí,VAN
Éxito,856,2025-02-19,1998,537.97,43.0,X12,R/3,Error de autenticación,1395.09,SFTP,Legacy,Baja,Desincronización de reloj,No,Sí,VAN
Falla,810,2025-08-13,3635,459.28,4.0,EDIFACT,R/3,Desincronización de reloj,1206.79,SFTP,SAP,Media,Fallo en unidades de medida,Sí,Sí,SIMTEL
Éxito,856,2025-12-23,20334,300.2,7.0,X12,S4HANA,Desincronización de reloj,1293.26,API,Legacy,Baja,Documento parcialmente transmitido,Sí,No,VAN
Éxito,850,2025-08-20,6913,519.33,,X12,410,Formato inválido,1652.6,AS2,SAP,Alta,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,862,2025-06-13,25333,568.99,6.0,EDIFACT,SAP PI,Sin respuesta,1407.67,OFTP,SAP,Media,Error de autenticación,No,Sí,SAP
Éxito,856,2025-02-04,5793,528.58,29.0,X12,R/3,Timeout,1341.67,AS2,Legacy,Baja,Formato no soportado,No,Sí,VAN
Falla,810,2025-06-03,28888,,5.0,X12,SAP PI,Formato inválido,969.77,API,SAP,Alta,Desincronización de reloj,No,Sí,LEGACY
Éxito,862,2025-01-23,33327,442.12,6.0,X12,410,Sin respuesta,1092.69,API,Legacy,Alta,Error de autenticación,Sí,Sí,SIMTEL
Falla,856,2025-12-30,1527,745.71,34.0,X12,S4HANA,Sin respuesta,1046.61,AS2,WEBEDI,Baja,Fallo en unidades de medida,No,Sí,LEGACY
Falla,830,2025-02-28,13609,535.18,34.0,X12,SAP PI,Formato inválido,1354.64,AS2,SAP,Media,Falta un campo mandatorio,Sí,Sí,EPICOR
Falla,856,2025-01-12,27794,265.23,1.0,X12,ECC6.0,Timeout,1442.0,FTPS,SAP,Alta,Certificado expirado,Sí,Sí,EPICOR
Éxito,850,2025-06-25,15971,442.58,18.0,EDIFACT,S4HANA,,1099.21,FTPS,Legacy,Media,Error de autenticación,Sí,No,SEEBURGER
Falla,862,2025-11-28,31286,478.3,27.0,X12,ECC6.0,Formato inválido,1009.51,AS2,Legacy,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER
Falla,850,2025-02-25,3754,376.16,10.0,EDIFACT,410,Desincronización de reloj,1276.14,AS2,Legacy,Alta,Falta un campo mandatorio,Sí,Sí,SAP
Falla,830,2025-12-13,33271,487.02,39.0,EDIFACT,SAP PI,Error de autenticación,1012.77,OFTP,Legacy,Alta,Documento parcialmente transmitido,Sí,No,VAN
Éxito,830,2025-03-26,21527,450.71,2.0,EDIFACT,SAP PI,Timeout,1060.58,OFTP,Legacy,Baja,Mal encoding,No,Sí,SAP
Éxito,850,2025-05-05,21540,519.59,19.0,EDIFACT,410,Timeout,1573.01,FTPS,Legacy,Media,Documento parcialmente transmitido,No,Sí,SIMTEL
Falla,862,2025-09-22,31611,,27.0,X12,410,Formato inválido,855.9,OFTP,SAP,Alta,Formato no soportado,Sí,No,VAN
Éxito,830,2025-03-31,12991,430.0,22.0,X12,S4HANA,Formato inválido,1187.24,AS2,SAP,Baja,Error de autenticación,No,Sí,VAN
Éxito,830,2025-10-10,30775,466.12,,EDIFACT,410,,1697.87,AS2,SAP,Baja,Formato no soportado,Sí,No,SAP
Falla,856,2025-03-23,14880,584.71,44.0,EDIFACT,R/3,Error de autenticación,589.45,FTPS,SAP,Media,Documento parcialmente transmitido,Sí,No,VAN
Falla,810,2025-06-19,14150,506.41,27.0,X12,ECC6.0,Desincronización de reloj,1061.04,AS2,SAP,Alta,Desincronización de reloj,No,Sí,SEEBURGER
Éxito,830,2025-10-14,10976,,12.0,X12,410,Desincronización de reloj,1271.12,API,Legacy,Baja,Falta un campo mandatorio,Sí,Sí,SAP
Falla,862,2025-08-07,16494,535.12,15.0,X12,R/3,Desincronización de reloj,1764.39,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,862,2025-08-25,2587,499.84,1.0,EDIFACT,SAP PI,Error de autenticación,857.63,OFTP,Legacy,Baja,Documento parcialmente transmitido,No,Sí,SEEBURGER
Éxito,856,2025-04-29,25907,389.34,38.0,EDIFACT,410,Sin respuesta,1128.15,API,WEBEDI,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER
Éxito,862,2025-07-27,3516,568.65,41.0,EDIFACT,ECC6.0,Error de autenticación,985.97,OFTP,SAP,Alta,Duplicado,Sí,No,EPICOR
Éxito,856,2025-11-19,22952,437.56,24.0,X12,ECC6.0,Desincronización de reloj,1769.01,AS2,Legacy,Alta,Error de autenticación,Sí,No,LEGACY
Éxito,830,2025-04-05,11408,465.74,6.0,X12,S4HANA,Sin respuesta,1111.24,FTPS,Legacy,Alta,Desincronización de reloj,Sí,No,VAN
Éxito,830,2025-04-06,8624,348.64,29.0,X12,,Desincronización de reloj,976.38,API,SAP,Baja,Duplicado,No,Sí,SIMTEL
Falla,830,2025-11-24,15435,582.19,6.0,X12,SAP PI,Sin respuesta,1191.79,OFTP,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL
Falla,830,2025-12-03,27803,512.47,38.0,X12,ECC6.0,Timeout,1377.02,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,SEEBURGER
Éxito,810,2025-08-10,8585,528.49,48.0,X12,R/3,Error de autenticación,1657.76,API,Legacy,Media,Falta un campo mandatorio,No,Sí,SAP
Éxito,810,2025-07-22,26984,581.38,15.0,X12,ECC6.0,Timeout,886.39,AS2,SAP,Baja,Error de autenticación,Sí,No,LEGACY
Éxito,830,2025-01-15,21348,582.24,8.0,EDIFACT,410,Formato inválido,1502.52,AS2,Legacy,Baja,Duplicado,Sí,Sí,SEEBURGER
Falla,862,2025-11-11,22226,429.57,29.0,EDIFACT,S4HANA,Timeout,1296.9,AS2,SAP,Media,Duplicado,No,Sí,SEEBURGER
Éxito,856,2025-04-12,24306,501.21,2.0,EDIFACT,,Timeout,1385.83,API,Legacy,Media,Fallo en unidades de medida,No,Sí,LEGACY
Falla,850,2025-08-19,30519,491.41,11.0,EDIFACT,,Formato inválido,826.5,API,Legacy,Media,Fallo en unidades de medida,No,Sí,SIMTEL
Éxito,856,2025-10-31,15749,481.94,9.0,EDIFACT,410,Error de autenticación,981.03,AS2,SAP,Alta,Falta un campo mandatorio,No,Sí,LEGACY
Éxito,850,2025-08-08,5968,419.55,16.0,EDIFACT,SAP PI,Desincronización de reloj,945.65,AS2,SAP,Media,Error de autenticación,No,Sí,LEGACY
Falla,850,2025-07-19,26885,642.5,24.0,X12,,Error de autenticación,1009.56,API,WEBEDI,Alta,Certificado expirado,No,Sí,SAP
Falla,830,2025-01-03,4397,601.42,34.0,EDIFACT,SAP PI,Desincronización de reloj,1463.44,AS2,Legacy,Baja,Certificado expirado,Sí,Sí,EPICOR
Éxito,850,2025-12-27,11863,,43.0,EDIFACT,S4HANA,Formato inválido,1349.16,API,Legacy,Alta,Formato no soportado,Sí,Sí,SIMTEL
Éxito,830,2025-04-20,21013,635.68,24.0,EDIFACT,R/3,Sin respuesta,1039.88,OFTP,SAP,Baja,Duplicado,No,Sí,SIMTEL
Éxito,810,2025-04-16,22140,547.44,49.0,EDIFACT,R/3,Formato inválido,600.14,OFTP,SAP,Baja,Documento parcialmente transmitido,No,Sí,SAP
Falla,862,2025-05-23,10843,469.69,38.0,X12,S4HANA,Error de autenticación,1072.66,API,VAN,Alta,Desincronización de reloj,No,Sí,LEGACY
Falla,850,2025-12-27,24765,457.85,38.0,X12,ECC6.0,Sin respuesta,904.68,AS2,Legacy,Media,Falta un campo mandatorio,No,Sí,SAP
Falla,862,2025-02-02,29755,538.57,25.0,X12,,Formato inválido,1665.7,FTPS,Legacy,Media,Certificado expirado,Sí,Sí,SAP
Falla,830,2025-10-23,19219,362.19,41.0,X12,SAP PI,Error de autenticación,940.32,SFTP,Legacy,Alta,Fallo en unidades de medida,Sí,No,SIMTEL
Falla,850,2025-02-22,26594,586.67,33.0,X12,R/3,Sin respuesta,1403.76,SFTP,VAN,Baja,Falta un campo mandatorio,Sí,No,SEEBURGER
Falla,856,2025-10-02,24963,337.15,44.0,X12,R/3,Error de autenticación,1507.81,FTPS,SAP,Baja,Formato no soportado,Sí,No,SIMTEL
Éxito,810,2025-04-06,19173,610.24,,EDIFACT,S4HANA,Formato inválido,1255.81,SFTP,VAN,Baja,Formato no soportado,Sí,Sí,VAN
Éxito,810,2025-07-07,10438,549.67,17.0,EDIFACT,ECC6.0,Timeout,973.29,OFTP,VAN,Media,Fallo en unidades de medida,No,Sí,VAN
Falla,850,2025-06-16,16124,,7.0,X12,S4HANA,Timeout,1022.59,API,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,SAP
Éxito,810,2025-04-11,14208,518.01,27.0,X12,,Formato inválido,1622.47,API,SAP,Baja,Duplicado,Sí,No,VAN
Éxito,856,2025-08-23,30044,565.6,36.0,EDIFACT,SAP PI,Desincronización de reloj,1438.05,API,SAP,Media,Duplicado,Sí,Sí,SAP
Falla,862,2025-02-28,23532,569.7,41.0,X12,410,Error de autenticación,1861.01,AS2,Legacy,Media,Certificado expirado,Sí,No,VAN
Éxito,856,2025-05-15,30312,411.44,19.0,X12,ECC6.0,Formato inválido,897.45,AS2,WEBEDI,Alta,Mal encoding,No,Sí,LEGACY
Falla,810,2025-12-10,7429,393.26,15.0,X12,R/3,Timeout,1353.95,AS2,WEBEDI,Media,Certificado expirado,No,Sí,EPICOR
Falla,862,2025-09-08,22687,406.62,6.0,EDIFACT,SAP PI,Error de autenticación,1377.06,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SAP
Éxito,856,2025-09-28,18582,496.73,36.0,EDIFACT,SAP PI,Desincronización de reloj,1219.14,FTPS,SAP,Alta,Falta un campo mandatorio,Sí,No,EPICOR
Falla,830,2025-11-24,12727,499.27,5.0,EDIFACT,ECC6.0,Timeout,1402.36,API,WEBEDI,Alta,Duplicado,No,Sí,SAP
Falla,830,2025-06-10,18359,,45.0,EDIFACT,S4HANA,Sin respuesta,1344.29,API,Legacy,Baja,Documento parcialmente transmitido,No,Sí,SAP
Falla,862,2025-11-02,13669,549.42,5.0,EDIFACT,410,Desincronización de reloj,1352.98,SFTP,Legacy,Alta,Desincronización de reloj,Sí,No,SEEBURGER
Falla,862,2025-07-18,31833,425.72,2.0,X12,SAP PI,Error de autenticación,1019.76,AS2,Legacy,Alta,Certificado expirado,No,Sí,SIMTEL
Falla,862,2025-11-09,25581,583.9,43.0,EDIFACT,410,Timeout,860.75,API,Legacy,Alta,Error de autenticación,No,Sí,SEEBURGER
Falla,830,2025-07-20,15690,543.05,18.0,EDIFACT,R/3,Error de autenticación,641.93,AS2,Legacy,Media,Mal encoding,Sí,No,SEEBURGER
Falla,856,2025-10-28,8033,658.07,32.0,X12,410,Timeout,873.45,AS2,Legacy,Alta,Certificado expirado,Sí,Sí,SAP
Falla,862,2025-02-28,10203,543.09,47.0,X12,SAP PI,Timeout,1875.65,AS2,SAP,Baja,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Éxito,830,2025-06-28,26614,493.05,49.0,X12,S4HANA,Sin respuesta,1045.92,AS2,Legacy,Alta,Mal encoding,Sí,No,EPICOR
Éxito,862,2025-06-30,11953,714.75,29.0,EDIFACT,SAP PI,Sin respuesta,1620.63,SFTP,SAP,Media,Duplicado,Sí,No,EPICOR
Éxito,862,2025-08-23,20829,491.6,49.0,EDIFACT,R/3,Timeout,1179.05,API,SAP,Media,Desincronización de reloj,Sí,No,VAN
Falla,862,2025-11-13,23517,528.95,20.0,EDIFACT,410,Sin respuesta,1088.45,AS2,WEBEDI,Alta,Falta un campo mandatorio,No,Sí,EPICOR
Falla,830,2025-03-30,29951,,19.0,EDIFACT,S4HANA,Sin respuesta,1516.07,AS2,SAP,Alta,Desincronización de reloj,Sí,No,LEGACY
Éxito,856,2025-12-11,6885,593.11,16.0,X12,S4HANA,Desincronización de reloj,1177.58,FTPS,Legacy,Media,Mal encoding,Sí,Sí,SAP
Éxito,830,2025-12-28,19251,508.55,11.0,EDIFACT,410,Sin respuesta,1121.72,AS2,VAN,Alta,Mal encoding,No,Sí,LEGACY
Éxito,830,2025-06-02,18946,776.7,28.0,EDIFACT,410,Desincronización de reloj,1204.43,OFTP,Legacy,Alta,Fallo en unidades de medida,Sí,No,SAP
Falla,862,2025-11-11,30405,442.67,22.0,X12,410,Formato inválido,1051.4,AS2,SAP,Media,Duplicado,No,Sí,EPICOR
Éxito,850,2025-10-30,3808,648.96,27.0,X12,R/3,Desincronización de reloj,1613.71,API,WEBEDI,Media,Desincronización de reloj,No,Sí,VAN
Éxito,850,2025-02-13,18192,353.76,17.0,X12,S4HANA,Desincronización de reloj,1012.1,AS2,Legacy,Baja,Falta un campo mandatorio,Sí,No,LEGACY
Falla,850,2025-12-11,30575,401.55,8.0,EDIFACT,SAP PI,Timeout,1362.18,SFTP,Legacy,Baja,Error de autenticación,Sí,Sí,LEGACY
Éxito,830,2025-03-10,10689,344.38,8.0,EDIFACT,R/3,Formato inválido,1682.14,FTPS,SAP,Alta,Falta un campo mandatorio,Sí,No,EPICOR
Falla,862,2025-06-10,27361,407.48,23.0,EDIFACT,410,Formato inválido,1369.52,OFTP,WEBEDI,Media,Documento parcialmente transmitido,No,Sí,SAP
Falla,850,2025-03-02,31672,336.4,,X12,410,,1285.97,AS2,SAP,Alta,Formato no soportado,Sí,No,SIMTEL
Falla,810,2025-05-03,30922,510.82,44.0,EDIFACT,SAP PI,Formato inválido,953.57,AS2,Legacy,Media,Falta un campo mandatorio,No,Sí,LEGACY
Éxito,810,2025-06-06,10822,410.71,15.0,EDIFACT,SAP PI,Error de autenticación,1033.78,SFTP,SAP,Alta,Desincronización de reloj,No,Sí,LEGACY
Éxito,810,2025-03-01,33491,651.48,27.0,X12,SAP PI,Error de autenticación,1495.34,OFTP,Legacy,Media,Falta un campo mandatorio,Sí,Sí,EPICOR
Falla,856,2025-04-04,1804,550.27,4.0,EDIFACT,ECC6.0,Desincronización de reloj,725.63,API,WEBEDI,Baja,Duplicado,Sí,Sí,SIMTEL
Éxito,862,2025-07-11,7987,506.66,40.0,EDIFACT,R/3,,1814.7,AS2,SAP,Baja,Mal encoding,No,Sí,SEEBURGER
Éxito,830,2025-12-22,7067,526.58,32.0,EDIFACT,ECC6.0,Timeout,1137.7,SFTP,Legacy,Baja,Formato no soportado,Sí,No,EPICOR
Éxito,830,2025-03-14,23042,564.6,47.0,X12,SAP PI,Timeout,1801.64,AS2,Legacy,Baja,Documento parcialmente transmitido,No,Sí,SIMTEL
Éxito,862,2025-09-19,5392,619.27,37.0,X12,S4HANA,,983.79,OFTP,SAP,Media,Documento parcialmente transmitido,Sí,No,SIMTEL
Falla,856,2025-07-18,10547,450.28,10.0,EDIFACT,R/3,Error de autenticación,1159.4,FTPS,SAP,Alta,Mal encoding,Sí,No,LEGACY
Éxito,862,2025-08-03,31242,431.84,28.0,X12,ECC6.0,Sin respuesta,946.87,AS2,VAN,Alta,Fallo en unidades de medida,Sí,Sí,SEEBURGER
Falla,856,2025-11-02,27822,,32.0,EDIFACT,,Timeout,795.68,OFTP,Legacy,Media,Fallo en unidades de medida,Sí,No,SEEBURGER
Falla,850,2025-03-12,7225,656.89,32.0,EDIFACT,R/3,Formato inválido,1482.15,AS2,SAP,Baja,Mal encoding,No,Sí,SAP
Éxito,850,2025-10-22,17080,363.81,15.0,X12,S4HANA,Sin respuesta,1177.55,AS2,WEBEDI,Media,Formato no soportado,Sí,No,LEGACY
Falla,856,2025-07-16,32476,539.92,6.0,EDIFACT,S4HANA,Timeout,1646.4,SFTP,VAN,Baja,Fallo en unidades de medida,No,Sí,SIMTEL
Éxito,862,2025-08-05,24165,629.1,9.0,X12,SAP PI,Desincronización de reloj,1326.23,API,SAP,Alta,Documento parcialmente transmitido,Sí,No,SEEBURGER
Éxito,850,2025-04-06,6851,561.56,38.0,X12,SAP PI,Error de autenticación,876.98,FTPS,VAN,Baja,Formato no soportado,Sí,No,SAP
Falla,862,2025-09-07,10510,533.2,30.0,EDIFACT,410,Sin respuesta,1171.48,API,Legacy,Media,Fallo en unidades de medida,No,Sí,LEGACY
Falla,850,2025-11-22,15526,554.04,41.0,X12,S4HANA,Timeout,890.24,API,WEBEDI,Baja,Desincronización de reloj,Sí,No,SAP
Falla,862,2025-10-03,29726,680.34,40.0,EDIFACT,SAP PI,Sin respuesta,1319.36,AS2,Legacy,Media,Mal encoding,Sí,No,SEEBURGER
Falla,862,2025-12-22,10665,579.5,16.0,EDIFACT,ECC6.0,Sin respuesta,953.14,FTPS,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL
Éxito,810,2025-11-27,5634,344.89,25.0,X12,SAP PI,Timeout,1110.63,AS2,SAP,Baja,Formato no soportado,No,Sí,LEGACY
Éxito,856,2025-03-30,10871,491.54,10.0,EDIFACT,410,Timeout,1219.01,API,SAP,Media,Falta un campo mandatorio,No,Sí,SIMTEL
Éxito,830,2025-10-12,17363,,30.0,X12,410,Error de autenticación,849.7,API,SAP,Media,Falta un campo mandatorio,Sí,Sí,VAN
Falla,856,2025-03-27,1605,602.59,9.0,X12,ECC6.0,Sin respuesta,1117.26,AS2,Legacy,Alta,Documento parcialmente transmitido,No,Sí,SIMTEL
Falla,862,2025-09-08,26331,508.33,40.0,EDIFACT,R/3,Formato inválido,1617.75,SFTP,Legacy,Alta,Mal encoding,No,Sí,SAP
Falla,862,2025-05-28,25456,501.6,46.0,X12,S4HANA,Sin respuesta,1365.72,OFTP,WEBEDI,Baja,Error de autenticación,No,Sí,SAP
Éxito,856,2025-03-13,28612,504.27,7.0,EDIFACT,410,Desincronización de reloj,1527.99,API,VAN,Media,Error de autenticación,No,Sí,SIMTEL
Falla,862,2025-04-06,15770,523.99,43.0,X12,S4HANA,Timeout,842.12,SFTP,Legacy,Media,Duplicado,No,Sí,SIMTEL
Éxito,850,2025-06-11,24486,490.66,48.0,EDIFACT,ECC6.0,Desincronización de reloj,1100.61,OFTP,SAP,Alta,Falta un campo mandatorio,No,Sí,SIMTEL
Falla,862,2025-08-19,24556,458.09,49.0,X12,,Desincronización de reloj,941.39,API,SAP,Alta,Fallo en unidades de medida,No,Sí,SAP
Éxito,856,2025-11-14,26667,485.23,40.0,X12,R/3,Sin respuesta,1353.62,AS2,SAP,Alta,Duplicado,No,Sí,EPICOR
Éxito,856,2025-01-28,26601,530.51,12.0,X12,410,Sin respuesta,705.96,API,Legacy,Baja,Falta un campo mandatorio,No,Sí,SIMTEL
Falla,856,2025-07-03,10062,562.07,17.0,EDIFACT,ECC6.0,Sin respuesta,1350.05,API,WEBEDI,Media,Fallo en unidades de medida,No,Sí,LEGACY
Falla,810,2025-01-05,13890,773.64,25.0,EDIFACT,SAP PI,Sin respuesta,1529.6,AS2,SAP,Media,Certificado expirado,Sí,Sí,SAP
Éxito,810,2025-09-06,20848,367.08,47.0,X12,S4HANA,Error de autenticación,1327.0,SFTP,Legacy,Baja,Documento parcialmente transmitido,Sí,Sí,SEEBURGER
Éxito,810,2025-03-11,10356,558.72,7.0,EDIFACT,S4HANA,Desincronización de reloj,1091.22,API,Legacy,Alta,Fallo en unidades de medida,No,Sí,VAN
Falla,810,2025-04-10,17861,647.58,19.0,EDIFACT,SAP PI,Formato inválido,1601.86,AS2,WEBEDI,Alta,Certificado expirado,Sí,Sí,VAN
Falla,810,2025-07-16,18574,422.65,17.0,X12,S4HANA,Error de autenticación,1045.28,AS2,Legacy,Alta,Duplicado,No,Sí,LEGACY
Éxito,810,2025-10-15,15715,568.47,32.0,EDIFACT,SAP PI,Desincronización de reloj,1222.64,API,Legacy,Alta,Duplicado,Sí,Sí,SEEBURGER
Falla,810,2025-09-16,28723,463.51,23.0,EDIFACT,S4HANA,,1318.37,API,Legacy,Baja,Duplicado,Sí,Sí,SAP
Éxito,856,2025-12-01,8244,448.36,,X12,ECC6.0,Sin respuesta,873.9,OFTP,SAP,Alta,Duplicado,No,Sí,LEGACY
Éxito,830,2025-09-11,4089,426.69,32.0,X12,R/3,Sin respuesta,1668.57,SFTP,VAN,Baja,Documento parcialmente transmitido,Sí,Sí,LEGACY
Falla,810,2025-07-29,3036,490.93,26.0,X12,,Sin respuesta,1288.57,FTPS,Legacy,Alta,Mal encoding,No,Sí,LEGACY
Falla,856,2025-12-17,32609,487.18,8.0,EDIFACT,410,Desincronización de reloj,1407.59,AS2,Legacy,Alta,Duplicado,Sí,Sí,SAP
Falla,830,2025-09-09,16199,575.33,22.0,EDIFACT,410,Timeout,1093.24,AS2,SAP,Alta,Falta un campo mandatorio,Sí,Sí,SAP
Falla,810,2025-08-01,3529,355.59,46.0,X12,410,Timeout,1223.5,API,SAP,Alta,Documento parcialmente transmitido,Sí,No,EPICOR
Falla,830,2025-12-30,31103,,,EDIFACT,410,Error de autenticación,1259.39,SFTP,Legacy,Media,Duplicado,Sí,Sí,VAN
Éxito,830,2025-08-16,19741,582.78,46.0,EDIFACT,SAP PI,Error de autenticación,1199.35,API,SAP,Alta,Falta un campo mandatorio,Sí,Sí,VAN
Éxito,850,2025-09-08,16448,530.89,5.0,EDIFACT,ECC6.0,Desincronización de reloj,1372.55,OFTP,Legacy,Alta,Error de autenticación,Sí,Sí,EPICOR
Falla,862,2025-03-27,21071,728.78,12.0,X12,,Error de autenticación,1180.83,SFTP,Legacy,Media,Fallo en unidades de medida,Sí,No,LEGACY
Falla,850,2025-02-12,4270,623.34,27.0,EDIFACT,410,Error de autenticación,917.73,SFTP,SAP,Alta,Mal encoding,No,Sí,VAN
Falla,830,2025-10-17,23970,449.91,20.0,X12,S4HANA,Sin respuesta,1014.71,OFTP,Legacy,Media,Duplicado,No,Sí,LEGACY
Éxito,856,2025-01-16,7987,381.05,11.0,EDIFACT,S4HANA,Error de autenticación,914.91,AS2,SAP,Media,Falta un campo mandatorio,Sí,Sí,LEGACY
Falla,810,2025-04-23,8742,,36.0,EDIFACT,R/3,Error de autenticación,1233.29,API,WEBEDI,Media,Formato no soportado,No,Sí,SIMTEL
Falla,862,2025-05-30,32355,441.9,2.0,EDIFACT,410,Error de autenticación,1843.81,OFTP,Legacy,Alta,Error de autenticación,Sí,No,VAN
Éxito,810,2025-01-17,20872,317.18,10.0,EDIFACT,410,Desincronización de reloj,1224.64,AS2,Legacy,Baja,Falta un campo mandatorio,No,Sí,SEEBURGER
Éxito,856,2025-05-21,9636,549.43,42.0,X12,ECC6.0,Error de autenticación,853.86,API,Legacy,Alta,Desincronización de reloj,Sí,No,SIMTEL
Falla,862,2025-04-26,15674,368.61,7.0,X12,,,1139.59,SFTP,WEBEDI,Baja,Duplicado,Sí,No,SEEBURGER
Falla,850,2025-10-03,31150,523.3,12.0,X12,S4HANA,Formato inválido,1255.66,OFTP,SAP,Media,Certificado expirado,No,Sí,SEEBURGER
Falla,830,2025-05-28,23975,593.79,16.0,X12,SAP PI,Error de autenticación,1613.52,AS2,Legacy,Baja,Certificado expirado,Sí,Sí,SEEBURGER
Éxito,856,2025-03-28,14168,639.95,31.0,EDIFACT,S4HANA,Formato inválido,1663.48,API,Legacy,Baja,Error de autenticación,Sí,Sí,SIMTEL
Falla,830,2025-08-23,15302,474.86,27.0,EDIFACT,410,Sin respuesta,1276.65,SFTP,Legacy,Media,Formato no soportado,No,Sí,LEGACY
Falla,830,2025-10-17,10841,428.37,32.0,EDIFACT,410,Desincronización de reloj,1625.88,AS2,Legacy,Baja,Certificado expirado,Sí,No,SAP
Falla,810,2025-09-11,15874,633.64,42.0,X12,S4HANA,,840.1,AS2,SAP,Media,Duplicado,No,Sí,SAP
Éxito,856,2025-10-09,18665,650.64,40.0,EDIFACT,SAP PI,Formato inválido,1155.91,API,SAP,Baja,Documento parcialmente transmitido,Sí,No,LEGACY
Éxito,830,2025-09-19,5906,568.26,27.0,X12,R/3,Sin respuesta,1630.46,OFTP,Legacy,Media,Formato no soportado,No,Sí,SAP
