Estatus,Transacción,Fecha de Transmisión,Proveedor,Tamaño del Archivo (KB),Número de Documentos,Estándar,Versión del Cliente,Tipo de Error,Tiempo de Procesamiento (ms),Canal de Transmisión,Sistema Receptor,Prioridad del Mensaje,Causa de la Falla,Detectado,Reportado por Cliente Final,Sistema Transmisor,multa,retrabajo (hrs)
Éxito,830,2025-09-20,2121,455.19,67.0,EDIFACT,R/3,Formato inválido,1651.77,AS2,SAP,Alta,Mal encoding,Sí,No,SEEBURGER,0.0,0.0
Éxito,830,2025-09-12,33080,437.66,64.0,X12,410,Timeout,1588.16,OFTP,Legacy,Alta,Desincronización de reloj,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-08-27,2464,474.95,69.0,EDIFACT,ECC6.0,Error de autenticación,1723.47,API,Legacy,Media,Formato no soportado,Sí,Sí,EPICOR,0.0,0.0
Éxito,810,2025-02-20,8716,405.44,59.0,EDIFACT,R/3,Error de autenticación,1471.24,API,SAP,Alta,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-08-29,12553,429.98,63.0,EDIFACT,410,Error de autenticación,1560.29,AS2,Legacy,Media,Formato no soportado,Sí,No,SIMTEL,0.0,0.0
Éxito,862,2025-06-13,20027,430.57,63.0,EDIFACT,410,,1562.43,API,VAN,Media,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-04-15,27577,532.69,78.0,EDIFACT,S4HANA,Error de autenticación,1932.99,AS2,WEBEDI,Alta,Formato no soportado,No,Sí,SIMTEL,0.0,0.0
Éxito,830,2025-07-09,32253,416.71,61.0,EDIFACT,ECC6.0,Sin respuesta,1512.13,AS2,SAP,Alta,Error de autenticación,Sí,Sí,SIMTEL,0.0,0.0
Falla,830,2025-06-10,29266,582.47,85.0,X12,SAP PI,Formato inválido,2113.63,OFTP,Legacy,Media,Error de autenticación,Sí,Sí,EPICOR,255.0,4.25
Falla,856,2025-07-31,17504,614.91,90.0,X12,,Timeout,2231.35,API,Legacy,Media,Duplicado,No,Sí,LEGACY,270.0,4.5
Éxito,850,2025-01-24,8919,387.42,57.0,X12,R/3,,1405.85,API,Legacy,Baja,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,830,2025-10-16,19211,369.5,54.0,EDIFACT,ECC6.0,Desincronización de reloj,1340.82,API,SAP,Media,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,850,2025-04-24,1622,446.4,65.0,EDIFACT,SAP PI,Error de autenticación,1619.87,AS2,SAP,Media,Duplicado,Sí,Sí,LEGACY,0.0,0.0
Éxito,850,2025-03-16,5814,459.87,,X12,R/3,Desincronización de reloj,1668.75,OFTP,WEBEDI,Alta,Formato no soportado,Sí,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-01-09,18961,626.61,92.0,EDIFACT,ECC6.0,Sin respuesta,2273.81,API,SAP,Baja,Formato no soportado,No,Sí,SEEBURGER,276.0,4.6
Éxito,856,2025-10-11,19067,541.97,79.0,X12,R/3,Error de autenticación,1966.67,FTPS,Legacy,Media,Desincronización de reloj,Sí,No,SEEBURGER,0.0,0.0
Éxito,850,2025-10-27,15483,541.79,79.0,X12,ECC6.0,Sin respuesta,,AS2,SAP,Media,Documento parcialmente transmitido,No,Sí,LEGACY,0.0,0.0
Éxito,856,2025-10-24,2295,411.94,60.0,X12,SAP PI,Formato inválido,1494.82,API,Legacy,Alta,Falta un campo mandatorio,No,Sí,LEGACY,0.0,0.0
Éxito,810,2025-08-02,11317,474.93,69.0,EDIFACT,410,Formato inválido,1723.4,AS2,Legacy,Baja,Desincronización de reloj,Sí,No,SIMTEL,0.0,0.0
Éxito,850,2025-03-20,9984,537.76,79.0,EDIFACT,R/3,Timeout,1951.39,API,,Alta,Documento parcialmente transmitido,Sí,No,SAP,0.0,0.0
Éxito,862,2025-04-11,8827,356.57,52.0,X12,SAP PI,Formato inválido,1293.9,API,,Media,Fallo en unidades de medida,No,Sí,SAP,0.0,0.0
Éxito,810,2025-06-18,10183,440.54,64.0,X12,410,Error de autenticación,1598.61,API,SAP,Alta,Desincronización de reloj,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-04-28,20693,501.15,73.0,EDIFACT,SAP PI,Desincronización de reloj,1818.54,API,SAP,Alta,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-10-19,26710,359.78,53.0,EDIFACT,,Timeout,1305.55,API,SAP,Media,Error de autenticación,Sí,No,EPICOR,0.0,0.0
Éxito,862,2025-05-06,15049,427.75,63.0,EDIFACT,S4HANA,Formato inválido,1552.19,API,Legacy,Media,Documento parcialmente transmitido,Sí,No,VAN,0.0,0.0
Éxito,850,2025-09-13,21384,360.75,53.0,X12,SAP PI,Desincronización de reloj,1309.07,OFTP,Legacy,Media,Falta un campo mandatorio,Sí,No,EPICOR,0.0,0.0
Falla,862,2025-10-09,20057,638.09,93.0,EDIFACT,410,Timeout,,AS2,Legacy,Alta,Error de autenticación,Sí,No,SIMTEL,279.0,4.65
Éxito,856,2025-12-17,17139,493.45,72.0,EDIFACT,ECC6.0,Formato inválido,1790.6,API,Legacy,Baja,Duplicado,Sí,No,LEGACY,0.0,0.0
Éxito,862,2025-06-22,7487,402.11,59.0,X12,ECC6.0,Formato inválido,1459.15,API,SAP,Media,Mal encoding,Sí,No,SEEBURGER,0.0,0.0
Éxito,862,2025-05-12,5408,523.07,76.0,EDIFACT,S4HANA,Sin respuesta,1898.09,AS2,SAP,Media,Fallo en unidades de medida,No,Sí,SAP,0.0,0.0
Falla,862,2025-09-08,22584,569.51,83.0,X12,,Desincronización de reloj,2066.6,AS2,SAP,Alta,Mal encoding,Sí,No,SEEBURGER,249.0,4.15
Éxito,830,2025-11-25,8582,408.38,60.0,EDIFACT,,Desincronización de reloj,1481.91,AS2,SAP,Baja,Formato no soportado,Sí,Sí,LEGACY,0.0,0.0
Éxito,856,2025-09-09,23109,410.63,60.0,EDIFACT,410,Error de autenticación,1490.07,API,SAP,Alta,Error de autenticación,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-08-24,14854,450.44,66.0,EDIFACT,R/3,Formato inválido,1634.53,AS2,SAP,Media,Error de autenticación,Sí,No,SIMTEL,0.0,0.0
Éxito,830,2025-03-28,21353,359.99,53.0,X12,ECC6.0,Sin respuesta,1306.31,AS2,SAP,Media,Desincronización de reloj,Sí,Sí,SIMTEL,0.0,0.0
Éxito,830,2025-06-30,7261,538.02,79.0,X12,410,Formato inválido,1952.34,API,SAP,Media,Duplicado,No,Sí,SIMTEL,0.0,0.0
Falla,830,2025-03-28,15272,575.9,84.0,EDIFACT,410,Error de autenticación,2089.79,SFTP,VAN,Media,Mal encoding,No,Sí,SEEBURGER,252.0,4.2
Éxito,810,2025-03-13,1991,356.74,52.0,EDIFACT,S4HANA,Error de autenticación,1294.52,API,SAP,Media,Documento parcialmente transmitido,No,Sí,SEEBURGER,0.0,0.0
Falla,856,2025-09-08,5764,588.17,86.0,X12,S4HANA,Formato inválido,2134.32,FTPS,VAN,Baja,Error de autenticación,Sí,Sí,EPICOR,258.0,4.3
Éxito,850,2025-04-05,9270,215.92,32.0,X12,410,Sin respuesta,783.52,FTPS,Legacy,Alta,Mal encoding,Sí,No,LEGACY,0.0,0.0
Éxito,850,2025-10-05,26835,389.63,57.0,EDIFACT,ECC6.0,Timeout,1413.87,FTPS,SAP,Alta,Formato no soportado,No,Sí,SAP,0.0,0.0
Éxito,856,2025-11-25,19082,439.34,64.0,X12,SAP PI,Sin respuesta,,FTPS,WEBEDI,Alta,Duplicado,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-01-31,13136,556.84,81.0,EDIFACT,R/3,Error de autenticación,2020.63,SFTP,SAP,Media,Duplicado,Sí,No,SIMTEL,0.0,0.0
Éxito,850,2025-09-26,3405,543.8,79.0,X12,S4HANA,,1973.31,API,WEBEDI,Media,Desincronización de reloj,Sí,No,SEEBURGER,0.0,0.0
Éxito,830,2025-01-18,6770,407.51,60.0,X12,R/3,Desincronización de reloj,1478.75,AS2,Legacy,Media,Duplicado,Sí,No,EPICOR,0.0,0.0
Falla,850,2025-02-08,32469,662.46,97.0,X12,,Sin respuesta,2403.9,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,Sí,SAP,291.0,4.85
Éxito,830,2025-01-25,13968,416.48,61.0,X12,,Desincronización de reloj,1511.3,API,SAP,Baja,Mal encoding,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-01-04,4692,383.91,56.0,EDIFACT,SAP PI,Timeout,1393.11,AS2,VAN,Media,Documento parcialmente transmitido,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-07-31,1528,482.14,70.0,EDIFACT,R/3,Desincronización de reloj,1749.56,AS2,Legacy,Media,Mal encoding,No,Sí,EPICOR,0.0,0.0
Falla,810,2025-03-12,15633,590.42,86.0,X12,R/3,Error de autenticación,2142.48,API,SAP,Alta,Certificado expirado,No,Sí,EPICOR,258.0,4.3
Éxito,856,2025-11-19,24145,409.87,60.0,X12,ECC6.0,Formato inválido,1487.31,API,SAP,Media,Falta un campo mandatorio,No,Sí,EPICOR,0.0,0.0
Éxito,810,2025-04-29,4251,520.84,76.0,EDIFACT,SAP PI,Sin respuesta,1889.99,FTPS,SAP,Media,Formato no soportado,No,Sí,LEGACY,0.0,0.0
Éxito,830,2025-02-04,28781,520.34,76.0,EDIFACT,R/3,Timeout,1888.18,AS2,SAP,Baja,Desincronización de reloj,Sí,No,VAN,0.0,0.0
Éxito,856,2025-12-29,4380,496.85,73.0,X12,SAP PI,Error de autenticación,1802.94,AS2,SAP,Media,Formato no soportado,No,Sí,VAN,0.0,0.0
Éxito,862,2025-03-19,5858,532.21,78.0,X12,R/3,Formato inválido,1931.25,AS2,Legacy,Alta,Fallo en unidades de medida,Sí,No,SIMTEL,0.0,0.0
Falla,862,2025-01-05,29802,590.61,86.0,X12,410,Timeout,2143.17,OFTP,VAN,Media,Duplicado,Sí,Sí,SIMTEL,258.0,4.3
Éxito,862,2025-04-22,12366,527.3,77.0,EDIFACT,R/3,Sin respuesta,1913.44,API,Legacy,Alta,Mal encoding,Sí,Sí,SIMTEL,0.0,0.0
Éxito,810,2025-07-11,4610,455.78,67.0,X12,410,Desincronización de reloj,1653.91,API,SAP,Media,Documento parcialmente transmitido,Sí,No,LEGACY,0.0,0.0
Éxito,856,2025-01-31,30369,390.12,57.0,X12,ECC6.0,Sin respuesta,1415.64,AS2,Legacy,Media,Mal encoding,No,Sí,LEGACY,0.0,0.0
Éxito,830,2025-11-13,29673,554.79,81.0,X12,410,Formato inválido,2013.19,AS2,Legacy,Media,Falta un campo mandatorio,Sí,Sí,SIMTEL,0.0,0.0
Falla,862,2025-11-23,29772,622.18,91.0,X12,ECC6.0,Sin respuesta,2257.73,API,SAP,Baja,Falta un campo mandatorio,Sí,No,SAP,273.0,4.55
Éxito,862,2025-12-08,11153,469.03,69.0,X12,R/3,Error de autenticación,,OFTP,SAP,Baja,Formato no soportado,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-11-12,32904,528.15,77.0,X12,S4HANA,Formato inválido,1916.52,API,Legacy,Media,Mal encoding,Sí,Sí,SAP,0.0,0.0
Éxito,830,2025-09-05,7259,350.55,51.0,EDIFACT,S4HANA,Error de autenticación,1272.06,AS2,SAP,Alta,Falta un campo mandatorio,No,Sí,SAP,0.0,0.0
Éxito,862,2025-12-04,4422,502.16,73.0,EDIFACT,S4HANA,Sin respuesta,1822.21,AS2,SAP,Media,Mal encoding,Sí,No,LEGACY,0.0,0.0
Éxito,830,2025-01-09,5929,506.06,74.0,X12,S4HANA,Error de autenticación,1836.36,API,SAP,Baja,Fallo en unidades de medida,Sí,Sí,VAN,0.0,0.0
Éxito,856,2025-01-04,9199,307.66,45.0,X12,ECC6.0,Desincronización de reloj,,AS2,WEBEDI,Baja,Error de autenticación,No,Sí,VAN,0.0,0.0
Falla,856,2025-09-30,9612,669.45,98.0,EDIFACT,410,Desincronización de reloj,2429.26,API,WEBEDI,Alta,Formato no soportado,Sí,No,SAP,294.0,4.9
Éxito,810,2025-10-10,21421,494.94,72.0,X12,410,Sin respuesta,1796.01,API,VAN,Media,Error de autenticación,No,Sí,EPICOR,0.0,0.0
Éxito,850,2025-07-30,24748,491.02,72.0,EDIFACT,R/3,Formato inválido,1781.78,API,WEBEDI,Media,Duplicado,Sí,No,VAN,0.0,0.0
Falla,810,2025-01-07,19066,690.83,101.0,X12,ECC6.0,Timeout,2506.84,AS2,Legacy,Media,Documento parcialmente transmitido,Sí,No,LEGACY,300.0,5.05
Éxito,862,2025-01-09,17020,506.61,74.0,EDIFACT,ECC6.0,Formato inválido,1838.36,SFTP,SAP,Baja,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,850,2025-09-29,21290,339.05,50.0,X12,R/3,Error de autenticación,1230.32,SFTP,SAP,Baja,Mal encoding,Sí,No,EPICOR,0.0,0.0
Éxito,862,2025-05-21,31948,456.92,67.0,EDIFACT,,Sin respuesta,1658.04,OFTP,VAN,Media,Fallo en unidades de medida,No,Sí,LEGACY,0.0,0.0
Falla,856,2025-10-02,17236,694.52,102.0,X12,R/3,Timeout,2520.23,FTPS,Legacy,Media,Desincronización de reloj,No,Sí,SIMTEL,300.0,5.1
Falla,856,2025-09-15,32065,654.67,,X12,S4HANA,Sin respuesta,2375.63,AS2,Legacy,Media,Error de autenticación,No,Sí,VAN,,
Éxito,810,2025-12-24,21799,422.9,62.0,X12,S4HANA,Formato inválido,1534.59,FTPS,Legacy,Media,Falta un campo mandatorio,No,Sí,LEGACY,0.0,0.0
Éxito,862,2025-12-12,13985,490.46,72.0,X12,S4HANA,Error de autenticación,1779.75,AS2,SAP,Media,Duplicado,No,Sí,EPICOR,0.0,0.0
Falla,856,2025-08-09,29268,635.05,93.0,EDIFACT,R/3,Error de autenticación,2304.43,API,Legacy,Media,Falta un campo mandatorio,No,Sí,LEGACY,279.0,4.65
Éxito,830,2025-04-02,11476,442.62,65.0,EDIFACT,S4HANA,Formato inválido,,API,Legacy,Media,Duplicado,Sí,No,VAN,0.0,0.0
Éxito,862,2025-02-24,21607,420.14,61.0,EDIFACT,R/3,Desincronización de reloj,1524.58,FTPS,SAP,Alta,Desincronización de reloj,Sí,No,SAP,0.0,0.0
Éxito,856,2025-02-19,14014,315.7,46.0,X12,ECC6.0,Timeout,1145.59,AS2,Legacy,Alta,Error de autenticación,Sí,No,EPICOR,0.0,0.0
Éxito,862,2025-09-26,4143,389.71,57.0,X12,ECC6.0,Timeout,1414.16,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-03-18,9078,411.66,60.0,EDIFACT,410,Formato inválido,1493.81,OFTP,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,VAN,0.0,0.0
Éxito,862,2025-05-04,15350,463.69,68.0,EDIFACT,ECC6.0,Sin respuesta,1682.61,AS2,WEBEDI,Baja,Error de autenticación,Sí,No,SIMTEL,0.0,0.0
Éxito,862,2025-04-09,5212,535.73,78.0,X12,SAP PI,,1944.03,API,VAN,Baja,Falta un campo mandatorio,No,Sí,EPICOR,0.0,0.0
Éxito,856,2025-11-14,20845,495.54,72.0,EDIFACT,SAP PI,Error de autenticación,1798.19,FTPS,SAP,Alta,Documento parcialmente transmitido,No,Sí,SIMTEL,0.0,0.0
Éxito,850,2025-09-27,22715,376.85,55.0,X12,,Formato inválido,,OFTP,Legacy,Media,Mal encoding,Sí,No,SIMTEL,0.0,0.0
Falla,862,2025-05-10,6959,636.05,93.0,EDIFACT,410,Desincronización de reloj,2308.06,API,Legacy,Media,Falta un campo mandatorio,No,Sí,LEGACY,279.0,4.65
Éxito,850,2025-07-01,27656,389.8,,EDIFACT,R/3,Desincronización de reloj,1414.48,API,WEBEDI,Alta,Desincronización de reloj,No,Sí,LEGACY,0.0,0.0
Falla,810,2025-05-17,19504,680.37,99.0,X12,R/3,,2468.89,AS2,Legacy,Baja,Mal encoding,No,Sí,SIMTEL,297.0,4.95
Éxito,862,2025-07-23,24023,515.13,75.0,X12,R/3,Timeout,1869.27,API,SAP,Baja,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Falla,850,2025-02-10,29043,604.54,88.0,EDIFACT,S4HANA,Sin respuesta,2193.72,API,SAP,Alta,Documento parcialmente transmitido,No,Sí,SEEBURGER,264.0,4.4
Éxito,810,2025-07-11,8181,552.99,81.0,EDIFACT,410,Sin respuesta,2006.66,OFTP,SAP,Alta,Error de autenticación,Sí,No,SEEBURGER,0.0,0.0
Falla,856,2025-07-27,14008,650.57,95.0,EDIFACT,ECC6.0,Formato inválido,2360.75,SFTP,Legacy,Media,Duplicado,No,Sí,SIMTEL,285.0,4.75
Éxito,862,2025-08-24,20225,495.66,72.0,EDIFACT,ECC6.0,Sin respuesta,1798.62,FTPS,SAP,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-05-05,17740,530.47,78.0,X12,SAP PI,Error de autenticación,1924.94,FTPS,Legacy,Baja,Formato no soportado,Sí,Sí,SAP,0.0,0.0
Éxito,856,2025-12-23,19613,472.47,69.0,EDIFACT,R/3,Formato inválido,1714.47,API,Legacy,Media,Duplicado,No,Sí,SIMTEL,0.0,0.0
Éxito,856,2025-04-26,21470,545.36,80.0,EDIFACT,SAP PI,Timeout,1978.97,AS2,Legacy,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Falla,830,2025-06-03,18086,654.98,96.0,EDIFACT,ECC6.0,Formato inválido,2376.75,AS2,SAP,Media,Error de autenticación,Sí,Sí,EPICOR,288.0,4.8
Éxito,810,2025-12-17,7486,330.95,48.0,X12,S4HANA,Desincronización de reloj,1200.93,API,VAN,Alta,Fallo en unidades de medida,Sí,Sí,VAN,0.0,0.0
Éxito,856,2025-02-11,24060,492.4,72.0,EDIFACT,SAP PI,Sin respuesta,1786.79,AS2,VAN,Alta,Duplicado,Sí,No,VAN,0.0,0.0
Falla,850,2025-12-01,4661,720.06,105.0,X12,,Timeout,2612.91,AS2,SAP,Media,Fallo en unidades de medida,No,Sí,EPICOR,300.0,5.25
Éxito,810,2025-11-29,12966,460.97,67.0,EDIFACT,S4HANA,Formato inválido,1672.74,API,SAP,Alta,Certificado expirado,No,Sí,EPICOR,0.0,0.0
Falla,862,2025-02-17,9373,587.06,86.0,X12,410,Sin respuesta,2130.29,SFTP,Legacy,Alta,Desincronización de reloj,Sí,No,LEGACY,258.0,4.3
Éxito,850,2025-07-14,17153,529.68,77.0,EDIFACT,410,Timeout,1922.07,API,WEBEDI,Baja,Fallo en unidades de medida,Sí,No,LEGACY,0.0,0.0
Éxito,830,2025-07-13,8360,521.97,76.0,X12,S4HANA,Timeout,1894.09,API,Legacy,Alta,Mal encoding,No,Sí,SAP,0.0,0.0
Falla,810,2025-10-10,2253,818.24,120.0,X12,ECC6.0,Desincronización de reloj,2969.18,API,VAN,Media,Duplicado,Sí,No,SAP,300.0,6.0
Éxito,856,2025-09-01,14805,237.4,35.0,X12,R/3,Error de autenticación,861.46,AS2,SAP,Baja,Formato no soportado,No,Sí,SIMTEL,0.0,0.0
Éxito,830,2025-01-29,17999,337.94,,EDIFACT,R/3,Formato inválido,1226.3,SFTP,SAP,Baja,Fallo en unidades de medida,Sí,Sí,LEGACY,0.0,0.0
Éxito,830,2025-11-23,16558,477.13,70.0,X12,S4HANA,Timeout,1731.38,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,SEEBURGER,0.0,0.0
Éxito,850,2025-01-05,23226,464.24,68.0,EDIFACT,410,,1684.61,FTPS,SAP,Baja,Mal encoding,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-12-26,5481,411.65,60.0,EDIFACT,SAP PI,Timeout,1493.77,AS2,SAP,Media,Falta un campo mandatorio,No,Sí,SIMTEL,0.0,0.0
Éxito,862,2025-03-29,7826,418.03,61.0,X12,R/3,Timeout,1516.92,OFTP,SAP,Alta,Certificado expirado,No,Sí,VAN,0.0,0.0
Falla,862,2025-02-12,20703,568.43,83.0,EDIFACT,410,Error de autenticación,2062.69,AS2,,Baja,Desincronización de reloj,No,Sí,EPICOR,249.0,4.15
Éxito,810,2025-09-13,18353,415.98,,X12,410,Desincronización de reloj,1509.48,AS2,SAP,Media,Formato no soportado,No,Sí,EPICOR,0.0,0.0
Éxito,830,2025-08-11,1926,445.89,65.0,X12,ECC6.0,Error de autenticación,1618.02,FTPS,SAP,Media,Formato no soportado,No,Sí,VAN,0.0,0.0
Falla,810,2025-11-27,9642,599.7,88.0,EDIFACT,,,2176.16,API,SAP,Media,Error de autenticación,No,Sí,VAN,264.0,4.4
Falla,830,2025-06-19,19460,584.31,85.0,EDIFACT,S4HANA,Formato inválido,2120.31,AS2,SAP,Media,Fallo en unidades de medida,Sí,Sí,SIMTEL,255.0,4.25
Éxito,850,2025-10-17,11558,452.24,66.0,EDIFACT,R/3,Formato inválido,1641.06,API,Legacy,Media,Falta un campo mandatorio,Sí,Sí,EPICOR,0.0,0.0
Éxito,850,2025-02-18,18718,353.44,52.0,EDIFACT,,Error de autenticación,1282.54,OFTP,SAP,Baja,Duplicado,No,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-09-28,33304,587.93,86.0,EDIFACT,410,Formato inválido,2133.45,SFTP,SAP,Media,Documento parcialmente transmitido,Sí,Sí,LEGACY,258.0,4.3
Éxito,810,2025-01-22,15817,406.02,59.0,EDIFACT,SAP PI,Timeout,1473.34,AS2,SAP,Baja,Formato no soportado,No,Sí,EPICOR,0.0,0.0
Falla,850,2025-04-28,16321,629.18,92.0,X12,ECC6.0,Formato inválido,2283.13,API,Legacy,Baja,Desincronización de reloj,Sí,No,SAP,276.0,4.6
Éxito,856,2025-04-19,5607,541.94,79.0,EDIFACT,ECC6.0,Formato inválido,1966.56,AS2,,Baja,Falta un campo mandatorio,No,Sí,LEGACY,0.0,0.0
Éxito,862,2025-12-21,21588,480.67,70.0,EDIFACT,410,Formato inválido,1744.23,API,Legacy,Alta,Documento parcialmente transmitido,Sí,Sí,LEGACY,0.0,0.0
Éxito,862,2025-10-18,2909,543.85,79.0,EDIFACT,410,Timeout,1973.49,OFTP,Legacy,Alta,Formato no soportado,Sí,Sí,SAP,0.0,0.0
Éxito,850,2025-09-01,21366,304.8,45.0,X12,S4HANA,Desincronización de reloj,1106.04,SFTP,Legacy,Alta,Fallo en unidades de medida,No,Sí,SIMTEL,0.0,0.0
Falla,862,2025-05-19,24070,648.02,95.0,X12,,Formato inválido,2351.5,OFTP,Legacy,Baja,Falta un campo mandatorio,No,Sí,VAN,285.0,4.75
Éxito,856,2025-01-24,7322,479.08,70.0,EDIFACT,,Formato inválido,1738.46,AS2,Legacy,Alta,Desincronización de reloj,No,Sí,VAN,0.0,0.0
Éxito,856,2025-02-08,11863,516.7,76.0,EDIFACT,SAP PI,Sin respuesta,1874.97,API,Legacy,Media,Error de autenticación,Sí,Sí,EPICOR,0.0,0.0
Éxito,830,2025-12-17,8345,442.35,65.0,X12,R/3,Sin respuesta,1605.17,OFTP,SAP,Media,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,810,2025-05-24,7896,482.92,71.0,X12,,Desincronización de reloj,1752.39,FTPS,SAP,Media,Falta un campo mandatorio,No,Sí,SAP,0.0,0.0
Falla,862,2025-10-06,31145,659.8,96.0,X12,SAP PI,Formato inválido,2394.24,AS2,SAP,Alta,Mal encoding,No,Sí,SAP,288.0,4.8
Éxito,856,2025-10-16,10296,473.0,69.0,X12,R/3,Formato inválido,1716.39,SFTP,SAP,Alta,Duplicado,Sí,No,SEEBURGER,0.0,0.0
Éxito,810,2025-01-17,18097,568.32,83.0,X12,,Desincronización de reloj,,AS2,Legacy,Media,Formato no soportado,Sí,No,SAP,0.0,0.0
Éxito,830,2025-04-02,29978,531.04,78.0,X12,410,Sin respuesta,1927.01,API,Legacy,Media,Falta un campo mandatorio,No,Sí,SEEBURGER,0.0,0.0
Falla,810,2025-06-11,24296,655.38,96.0,X12,R/3,Timeout,2378.2,SFTP,Legacy,Alta,Formato no soportado,No,Sí,SEEBURGER,288.0,4.8
Éxito,810,2025-01-09,16842,298.38,44.0,X12,S4HANA,Desincronización de reloj,1082.74,API,Legacy,Media,Error de autenticación,No,Sí,VAN,0.0,0.0
Éxito,850,2025-04-17,29815,453.95,66.0,X12,S4HANA,Sin respuesta,1647.27,API,Legacy,Media,Formato no soportado,Sí,No,VAN,0.0,0.0
Éxito,830,2025-10-28,28831,357.52,52.0,EDIFACT,ECC6.0,Error de autenticación,1297.35,API,SAP,Baja,Duplicado,Sí,Sí,SAP,0.0,0.0
Falla,830,2025-03-15,30712,623.14,91.0,X12,410,Timeout,2261.21,AS2,Legacy,Media,Error de autenticación,Sí,No,SIMTEL,273.0,4.55
Éxito,862,2025-12-31,6302,370.78,,X12,410,Sin respuesta,1345.46,AS2,SAP,Alta,Certificado expirado,Sí,No,SAP,0.0,0.0
Éxito,810,2025-07-23,16847,532.98,78.0,EDIFACT,R/3,Desincronización de reloj,1934.05,AS2,VAN,Alta,Fallo en unidades de medida,No,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-02-09,3259,369.31,54.0,EDIFACT,R/3,Error de autenticación,1340.13,API,SAP,Alta,Desincronización de reloj,No,Sí,SIMTEL,0.0,0.0
Éxito,856,2025-06-03,32839,450.06,66.0,EDIFACT,S4HANA,Error de autenticación,1633.15,SFTP,SAP,Media,Formato no soportado,Sí,No,VAN,0.0,0.0
Éxito,810,2025-03-25,7281,400.47,,EDIFACT,410,Desincronización de reloj,1453.2,AS2,,Baja,Error de autenticación,Sí,Sí,LEGACY,0.0,0.0
Éxito,856,2025-10-16,31331,499.31,73.0,X12,R/3,Desincronización de reloj,1811.87,SFTP,Legacy,Media,Duplicado,Sí,Sí,SAP,0.0,0.0
Éxito,862,2025-07-19,10474,386.24,56.0,X12,ECC6.0,Error de autenticación,1401.57,OFTP,Legacy,Alta,Desincronización de reloj,No,Sí,VAN,0.0,0.0
Éxito,862,2025-12-13,32082,559.7,,EDIFACT,410,Desincronización de reloj,2031.01,API,Legacy,Alta,Desincronización de reloj,Sí,No,SEEBURGER,0.0,0.0
Éxito,810,2025-10-04,13914,484.72,71.0,EDIFACT,ECC6.0,Timeout,1758.92,API,SAP,Media,Fallo en unidades de medida,Sí,Sí,SEEBURGER,0.0,0.0
Éxito,862,2025-06-19,29507,372.74,54.0,X12,410,Sin respuesta,1352.58,OFTP,SAP,Alta,Duplicado,Sí,Sí,EPICOR,0.0,0.0
Éxito,810,2025-07-16,19411,452.9,66.0,X12,S4HANA,Formato inválido,1643.46,FTPS,VAN,Alta,Documento parcialmente transmitido,No,Sí,LEGACY,0.0,0.0
Éxito,830,2025-03-13,2341,348.64,51.0,EDIFACT,,Formato inválido,1265.12,API,,Alta,Documento parcialmente transmitido,No,Sí,VAN,0.0,0.0
Éxito,862,2025-12-19,31155,450.98,66.0,X12,R/3,,1636.49,API,SAP,Baja,Duplicado,No,Sí,VAN,0.0,0.0
Éxito,810,2025-02-10,19226,402.82,59.0,X12,S4HANA,Sin respuesta,1461.73,FTPS,Legacy,Media,Fallo en unidades de medida,No,Sí,SAP,0.0,0.0
Éxito,810,2025-09-14,13800,531.09,78.0,X12,ECC6.0,Sin respuesta,1927.19,API,Legacy,Alta,Fallo en unidades de medida,No,Sí,EPICOR,0.0,0.0
Éxito,862,2025-06-27,19385,564.31,82.0,EDIFACT,410,Error de autenticación,2047.74,OFTP,Legacy,Media,Mal encoding,No,Sí,VAN,0.0,0.0
